Video ID,Title,Channel,Published At,Category ID,View Count,Like Count,Comment Count
2nFlTGC02hg,한국 며느리가 냉장고 털어서 요리하자 미국 시댁 반응,크리스 이슈 Kris Issue,2024-11-29T08:45:00Z,24,127536,6281,159
oHtwHI4R3Js,DAY6 Young K here to melt your ears ❤️‍🔥 | Joon & Brian BYOB Ep. 9 #DAY6,JohnMaat,2024-11-29T01:00:37Z,24,222416,14794,840
mSfo7F9-kl4,겨울부추 많이 사오셔서 이렇게 드셔보세요!! 춥고 밥하기 귀찮을때 딱입니다/부추계란보관 Chives egg storage,sogyo table 소교식탁TV,2024-11-28T12:54:37Z,22,124030,1568,112
ejpPBgPrzcA,Singing live undercover pretending to be a track (ft. Huh Gak) [BGL : Background Live] | JAYKEEOUT,JAYKEEOUT,2024-11-25T13:07:43Z,22,1463414,22185,2947
fFSyYTu6y70,이거 먹으러 새벽 6시에 찾아갔습니다🥺 옆손님이 대결신청?! 남대문시장 칼국수골목 먹방,tzuyang쯔양,2024-11-27T12:00:50Z,22,2079367,56888,1947
Kv5tRpl6gyA,이상호 & 애교용 드디어 결혼 했습니다! 10만명 넘게 축하해준 역대급 결혼식..!,이상호,2024-11-25T09:27:16Z,20,1421505,25753,2385
nOqbpEPgKIs,늙은호박은 이렇게 드세요!! 많이 만들어 오래두었다 보약처럼 먹는 늙은호박식초 old pumpkin vinegar,sogyo table 소교식탁TV,2024-11-25T13:34:24Z,22,372654,3808,214
LNc_7qd93Qw,집이 120평..?ㄷㄷ 궁궐같은 나름이의 펜트하우스 최초 공개 🔥,[Nareum_TV] 나름TV,2024-11-26T09:00:17Z,22,334415,0,211
BoNMKs3qEvo,신입 승무원 체험 [1편],주호다,2024-11-25T10:00:09Z,22,372908,7735,608
owAKV0BCXzE,"❌️특히, 겨울에 옷 못입는 습관 5가지‼️ 애매하게 입던 옷, 싹 걸러줌👌",Bora Claire (보라끌레르),2024-11-25T09:00:53Z,26,419094,9345,354
fvs6yw_xbtY,에드워드리 버번 브리스킷 : 물코기 셰프가 켄터키 고기를 숨김 (Edward Lee's Bourbon Brisket),육식맨 YOOXICMAN,2024-11-26T09:30:28Z,24,736263,8082,493
vMdOpX6SLLw,🇺🇸미국일상 | 김밥싸서 동네이웃들에게 나눔했더니 맛있다고 난리남 | 삼겹살에 김치와 소주 입문하는 외국인 이웃,인디애나 주영 Indiana Jooyoung,2024-11-25T01:00:38Z,24,940816,20029,823
8H_OEqc1Q5s,마케도니아 처남이 한국에서 넷플릭스 드라마에 출연??그리고 닭갈비를 처음 먹어본 장인어른 반응?! (한국여행),NB couple엔비커플,2024-11-25T09:08:57Z,24,296897,21108,636
m0OJUb85MtU,"둘째, 몇배 더 힘들어요? 손주사랑 썰, 유치원은요? 4살 극대노 썰",YOOTRUE ON AIR,2024-11-26T03:00:35Z,26,152275,3157,209
NCITPiVB80o,[인기급상승] 정말 쉽고 빠르게 만들어 먹는 '간편 동치미!' 국물이 너무 깔끔해서 다들 놀라요~(+닌자 공구),땅끝마을 임선생,2024-11-25T06:11:36Z,26,184795,7308,155
